epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,155.61,0.54231,0.78019,0.40841,1.00437,0.99034,1,0.995,0.89609,0.99034,1,0.995,0.91164,0.53289,0.57501,0.37,1.00279,0.00157628,0.00157628,0.00157628
109,157.019,0.55461,0.81816,0.39199,0.98427,0.976,1,0.994,0.91279,0.98209,0.98797,0.99464,0.91248,0.4802,0.60895,0.36659,0.96515,0.00157232,0.00157232,0.00157232
110,158.544,0.53292,0.73649,0.40352,0.97305,0.99106,0.99828,0.99482,0.9098,0.98198,0.98187,0.99403,0.89423,0.46344,0.61625,0.35798,0.96003,0.00156836,0.00156836,0.00156836
111,159.962,0.5283,0.73252,0.40831,0.98736,0.99025,1,0.995,0.90267,0.99025,1,0.995,0.91614,0.47697,0.52169,0.35038,0.97316,0.0015644,0.0015644,0.0015644
112,161.387,0.53207,0.78019,0.3869,0.99445,0.98932,0.99099,0.99401,0.89869,0.98932,0.99099,0.99401,0.9217,0.50658,0.47673,0.37284,0.99261,0.00156044,0.00156044,0.00156044
113,162.883,0.57762,0.75642,0.40466,1.02338,0.99103,0.98198,0.99491,0.88315,0.99103,0.98198,0.99491,0.92088,0.51957,0.55571,0.35807,1.0073,0.00155648,0.00155648,0.00155648
114,164.329,0.53063,0.72942,0.38893,1.0077,0.9953,0.99099,0.995,0.92297,0.9953,0.99099,0.995,0.92792,0.44258,0.50247,0.3482,0.94093,0.00155252,0.00155252,0.00155252
115,165.773,0.50921,0.74352,0.40686,0.98036,0.9821,0.98842,0.99363,0.89576,0.9821,0.98842,0.99363,0.90763,0.47584,0.5781,0.41177,0.96973,0.00154856,0.00154856,0.00154856
116,167.189,0.5088,0.73076,0.40212,0.9859,0.97939,1,0.99491,0.90955,0.97939,1,0.99491,0.90429,0.45013,0.58137,0.36432,0.94029,0.0015446,0.0015446,0.0015446
117,168.628,0.48413,0.81867,0.39494,0.96276,0.99105,1,0.995,0.93097,0.99105,1,0.995,0.93058,0.41985,0.46929,0.3124,0.90954,0.00154064,0.00154064,0.00154064
